GEOID,PopPov,below200pct
53033000101,3311,1023
53033000102,4548,1006
53033000201,4875,1343
53033000202,4406,481
53033000300,2812,270
53033000402,5189,404
53033000403,3465,1014
53033000404,3644,1528
53033000500,3347,315
53033000601,4391,627
53033000602,3663,414
53033000700,5217,931
53033000800,2536,210
53033000900,2045,197
53033001000,2005,371
53033001100,2541,196
53033001201,4038,1633
53033001202,3968,809
53033001300,5138,1466
53033001400,5142,799
53033001500,2645,190
53033001600,4929,344
53033001701,4217,677
53033001702,5696,456
53033001800,4459,615
53033001900,5036,667
53033002000,4157,651
53033002100,4796,550
53033002200,6162,491
53033002400,3051,197
53033002500,3265,272
53033002600,5372,764
53033002700,5928,839
53033002800,4991,384
53033002900,4475,380
53033003000,6338,493
53033003100,6645,453
53033003201,4589,488
53033003202,4917,197
53033003301,4315,380
53033003302,3899,623
53033003400,3565,180
53033003500,3968,536
53033003601,3551,624
53033003602,4228,823
53033003800,2472,287
53033003900,3383,302
53033004000,3090,556
53033004101,4077,253
53033004102,3980,208
53033004201,3756,172
53033004202,4804,59
53033004301,3314,909
53033004302,3758,2448
53033004401,3509,884
53033004402,3497,1769
53033004500,3230,627
53033004600,3718,339
53033004701,3596,475
53033004702,3458,285
53033004703,4111,272
53033004800,5108,375
53033004901,3661,444
53033004902,3335,486
53033005000,4625,738
53033005100,3848,515
53033005201,3663,830
53033005202,3056,1130
53033005303,115,69
53033005304,161,101
53033005305,2011,1516
53033005306,3323,1841
53033005307,1433,1238
53033005401,3306,268
53033005402,2963,334
53033005600,7156,295
53033005700,6594,801
53033005801,6350,717
53033005803,3220,501
53033005804,2420,463
53033005901,2543,338
53033005902,4312,629
53033006000,5991,700
53033006100,6104,999
53033006200,4210,374
53033006300,5762,356
53033006400,3605,357
53033006500,4773,539
53033006600,4108,611
53033006701,3475,416
53033006702,2996,334
53033006703,3113,157
53033006800,3273,289
53033006900,4950,426
53033007001,3565,417
53033007002,4052,722
53033007101,3002,481
53033007102,2597,337
53033007201,5186,1631
53033007202,3540,519
53033007203,3132,357
53033007301,3416,848
53033007302,5119,583
53033007303,3454,451
53033007403,2943,507
