GEOID,NAME,AIAN,Asian,BlackAA,Hispanic,MultiRacial,NHPI,Other,totpop,white_notHL
53033000101,Census Tract 1.01; King County; Washington,0,886,457,500,238,0,0,3370,1289
53033000102,Census Tract 1.02; King County; Washington,0,333,293,413,65,0,20,4548,3424
53033000201,Census Tract 2.01; King County; Washington,14,745,558,744,194,0,32,4918,2631
53033000202,Census Tract 2.02; King County; Washington,0,933,340,624,362,0,0,4406,2147
53033000300,Census Tract 3; King County; Washington,0,555,102,76,175,1,14,2819,1896
53033000402,Census Tract 4.02; King County; Washington,0,409,105,612,314,13,39,5420,3928
53033000403,Census Tract 4.03; King County; Washington,8,423,134,174,332,0,64,3526,2391
53033000404,Census Tract 4.04; King County; Washington,0,472,917,848,167,69,0,3644,1171
53033000500,Census Tract 5; King County; Washington,0,281,131,46,301,0,41,3361,2561
53033000601,Census Tract 6.01; King County; Washington,10,598,403,284,368,64,50,4397,2620
53033000602,Census Tract 6.02; King County; Washington,46,569,293,499,348,0,0,3663,1908
53033000700,Census Tract 7; King County; Washington,0,965,239,476,282,18,134,5217,3103
53033000800,Census Tract 8; King County; Washington,0,249,14,163,149,0,0,2595,2020
53033000900,Census Tract 9; King County; Washington,0,498,76,41,104,0,49,2065,1297
53033001000,Census Tract 10; King County; Washington,3,190,126,118,218,0,7,2009,1347
53033001100,Census Tract 11; King County; Washington,0,501,98,224,108,43,50,2550,1526
53033001201,Census Tract 12.01; King County; Washington,0,421,279,548,329,0,0,4053,2476
53033001202,Census Tract 12.02; King County; Washington,0,837,557,432,394,0,25,3968,1723
53033001300,Census Tract 13; King County; Washington,120,704,527,710,337,0,64,5207,2745
53033001400,Census Tract 14; King County; Washington,0,421,4,338,553,28,0,5145,3801
53033001500,Census Tract 15; King County; Washington,0,139,1,17,226,0,17,2645,2245
53033001600,Census Tract 16; King County; Washington,0,536,31,281,382,0,0,4933,3703
53033001701,Census Tract 17.01; King County; Washington,0,530,199,449,389,21,71,4217,2558
53033001702,Census Tract 17.02; King County; Washington,30,770,180,635,532,0,0,5847,3700
53033001800,Census Tract 18; King County; Washington,0,978,69,310,278,81,18,4459,2725
53033001900,Census Tract 19; King County; Washington,35,881,198,201,346,0,87,5036,3288
53033002000,Census Tract 20; King County; Washington,3,542,50,126,275,0,10,4231,3225
53033002100,Census Tract 21; King County; Washington,0,566,84,424,300,0,0,4844,3470
53033002200,Census Tract 22; King County; Washington,11,1053,158,479,311,0,22,6201,4167
53033002400,Census Tract 24; King County; Washington,0,339,13,89,173,22,0,3051,2415
53033002500,Census Tract 25; King County; Washington,13,499,0,139,261,0,0,3265,2353
53033002600,Census Tract 26; King County; Washington,0,631,24,157,247,0,15,5372,4298
53033002700,Census Tract 27; King County; Washington,0,962,37,281,481,0,64,5928,4103
53033002800,Census Tract 28; King County; Washington,0,259,290,430,480,4,0,5107,3644
53033002900,Census Tract 29; King County; Washington,0,129,77,334,190,0,42,4475,3703
53033003000,Census Tract 30; King County; Washington,0,453,108,207,394,0,70,6366,5134
53033003100,Census Tract 31; King County; Washington,23,372,55,296,667,0,0,6660,5247
53033003201,Census Tract 32.01; King County; Washington,0,470,59,440,132,0,0,4589,3488
53033003202,Census Tract 32.02; King County; Washington,19,424,106,179,431,0,15,4917,3743
53033003301,Census Tract 33.01; King County; Washington,0,463,1,194,347,73,0,4315,3237
53033003302,Census Tract 33.02; King County; Washington,0,368,19,304,192,0,0,3899,3016
53033003400,Census Tract 34; King County; Washington,17,249,50,234,264,0,0,3576,2762
53033003500,Census Tract 35; King County; Washington,7,221,17,310,270,0,0,4051,3226
53033003601,Census Tract 36.01; King County; Washington,18,428,61,136,94,0,46,3602,2819
53033003602,Census Tract 36.02; King County; Washington,0,740,122,513,303,0,0,4228,2550
53033003800,Census Tract 38; King County; Washington,13,343,113,194,167,0,53,2478,1595
53033003900,Census Tract 39; King County; Washington,0,687,42,232,256,0,0,3383,2166
53033004000,Census Tract 40; King County; Washington,1,291,92,70,178,29,74,3116,2381
53033004101,Census Tract 41.01; King County; Washington,0,336,42,215,207,0,0,4106,3306
53033004102,Census Tract 41.02; King County; Washington,0,626,10,211,186,15,0,4038,2990
53033004201,Census Tract 42.01; King County; Washington,24,350,18,196,229,0,25,3756,2914
53033004202,Census Tract 42.02; King County; Washington,76,410,18,205,374,0,0,4815,3732
53033004301,Census Tract 43.01; King County; Washington,176,636,131,245,252,7,0,3605,2158
53033004302,Census Tract 43.02; King County; Washington,31,813,243,402,678,9,32,4465,2257
53033004401,Census Tract 44.01; King County; Washington,0,360,76,366,128,5,12,3720,2773
53033004402,Census Tract 44.02; King County; Washington,0,1114,142,349,211,10,0,3497,1671
53033004500,Census Tract 45; King County; Washington,0,465,20,150,356,0,34,3230,2205
53033004600,Census Tract 46; King County; Washington,0,236,43,174,187,0,0,3753,3113
53033004701,Census Tract 47.01; King County; Washington,0,526,105,344,175,0,106,3596,2340
53033004702,Census Tract 47.02; King County; Washington,0,819,0,166,273,0,0,3458,2200
53033004703,Census Tract 47.03; King County; Washington,0,565,19,332,402,0,0,4111,2793
53033004800,Census Tract 48; King County; Washington,15,673,69,245,388,0,0,5108,3718
53033004901,Census Tract 49.01; King County; Washington,0,389,110,256,203,0,0,3883,2925
53033004902,Census Tract 49.02; King County; Washington,0,354,90,134,272,0,0,3359,2509
53033005000,Census Tract 50; King County; Washington,0,476,294,653,282,18,18,4625,2884
53033005100,Census Tract 51; King County; Washington,0,123,17,461,253,7,0,3848,2987
53033005201,Census Tract 52.01; King County; Washington,17,781,166,183,431,0,62,3675,2035
53033005202,Census Tract 52.02; King County; Washington,0,1349,110,62,188,26,0,3056,1321
53033005303,Census Tract 53.03; King County; Washington,8,1306,185,435,460,24,9,3943,1516
53033005304,Census Tract 53.04; King County; Washington,16,1344,114,295,342,18,0,3428,1299
53033005305,Census Tract 53.05; King County; Washington,60,649,203,123,187,0,10,2137,905
53033005306,Census Tract 53.06; King County; Washington,80,1597,205,264,203,0,0,3404,1055
53033005307,Census Tract 53.07; King County; Washington,6,573,130,182,493,13,59,3119,1663
53033005401,Census Tract 54.01; King County; Washington,0,592,62,127,277,0,38,3306,2210
53033005402,Census Tract 54.02; King County; Washington,0,364,34,216,206,0,0,2963,2143
53033005600,Census Tract 56; King County; Washington,0,542,255,286,274,0,83,7158,5718
53033005700,Census Tract 57; King County; Washington,0,726,0,380,692,22,80,6614,4714
53033005801,Census Tract 58.01; King County; Washington,25,987,172,592,266,0,0,6359,4317
53033005803,Census Tract 58.03; King County; Washington,0,550,100,99,264,1,0,3237,2223
53033005804,Census Tract 58.04; King County; Washington,11,241,58,366,122,0,0,2508,1710
53033005901,Census Tract 59.01; King County; Washington,16,543,80,292,386,0,0,3607,2290
53033005902,Census Tract 59.02; King County; Washington,0,309,46,272,549,1,9,4316,3130
53033006000,Census Tract 60; King County; Washington,0,903,68,838,290,0,8,6329,4222
53033006100,Census Tract 61; King County; Washington,0,560,76,388,365,0,22,6104,4693
53033006200,Census Tract 62; King County; Washington,9,404,195,65,326,0,0,4239,3240
53033006300,Census Tract 63; King County; Washington,0,329,60,199,269,0,0,5844,4987
53033006400,Census Tract 64; King County; Washington,13,266,193,168,347,0,11,3605,2607
53033006500,Census Tract 65; King County; Washington,0,732,32,349,267,0,52,4773,3341
53033006600,Census Tract 66; King County; Washington,53,378,125,210,439,48,36,4108,2819
53033006701,Census Tract 67.01; King County; Washington,0,1608,29,172,138,0,0,3475,1528
53033006702,Census Tract 67.02; King County; Washington,0,1095,160,169,126,4,0,2996,1442
53033006703,Census Tract 67.03; King County; Washington,0,350,10,313,267,0,7,3113,2166
53033006800,Census Tract 68; King County; Washington,0,242,104,208,209,0,26,3273,2484
53033006900,Census Tract 69; King County; Washington,0,476,41,424,265,0,98,4984,3680
53033007001,Census Tract 70.01; King County; Washington,2,276,131,496,242,0,204,3737,2386
53033007002,Census Tract 70.02; King County; Washington,0,477,143,337,464,6,0,4052,2625
53033007101,Census Tract 71.01; King County; Washington,0,680,202,450,261,0,0,3026,1433
53033007102,Census Tract 71.02; King County; Washington,2,743,178,108,129,26,17,2597,1394
53033007201,Census Tract 72.01; King County; Washington,0,2435,179,534,89,0,10,5186,1939
53033007202,Census Tract 72.02; King County; Washington,0,1679,10,262,65,12,46,3631,1557
53033007203,Census Tract 72.03; King County; Washington,64,1556,188,63,174,0,0,3137,1092
53033007301,Census Tract 73.01; King County; Washington,115,1387,125,324,232,4,0,3416,1229
53033007302,Census Tract 73.02; King County; Washington,43,2212,260,537,153,0,38,5231,1988
53033007303,Census Tract 73.03; King County; Washington,0,1451,172,149,160,0,0,3645,1713
53033007403,Census Tract 74.03; King County; Washington,7,454,171,244,152,0,28,2943,1887
53033007404,Census Tract 74.04; King County; Washington,0,283,46,155,347,0,14,2770,1925
53033007405,Census Tract 74.05; King County; Washington,79,304,210,125,146,0,46,2518,1608
53033007406,Census Tract 74.06; King County; Washington,26,585,33,344,355,0,0,2644,1301
53033007501,Census Tract 75.01; King County; Washington,65,423,110,424,315,141,68,4131,2585
53033007502,Census Tract 75.02; King County; Washington,0,443,97,222,557,27,0,3071,1725
53033007503,Census Tract 75.03; King County; Washington,21,531,12,78,96,0,0,2285,1547
53033007600,Census Tract 76; King County; Washington,0,532,230,197,120,0,2,4692,3611
53033007700,Census Tract 77; King County; Washington,15,514,450,388,760,0,73,5665,3465
53033007800,Census Tract 78; King County; Washington,0,373,412,260,510,0,0,5670,4115
53033007901,Census Tract 79.01; King County; Washington,11,290,403,207,149,9,0,3079,2010
53033007902,Census Tract 79.02; King County; Washington,11,531,447,287,247,0,0,3781,2258
53033008002,Census Tract 80.02; King County; Washington,18,1151,328,227,345,0,65,4363,2229
53033008003,Census Tract 80.03; King County; Washington,0,972,165,398,175,0,192,3911,2009
53033008004,Census Tract 80.04; King County; Washington,0,729,66,38,430,0,0,3024,1761
53033008101,Census Tract 81.01; King County; Washington,14,671,148,201,58,0,19,2788,1677
53033008102,Census Tract 81.02; King County; Washington,33,903,342,300,222,0,0,3512,1712
53033008200,Census Tract 82; King County; Washington,13,1831,249,140,358,0,0,4632,2041
53033008300,Census Tract 83; King County; Washington,0,804,210,220,240,22,34,3342,1812
53033008401,Census Tract 84.01; King County; Washington,27,943,97,141,248,31,11,3394,1896
53033008402,Census Tract 84.02; King County; Washington,9,292,270,302,308,0,10,2972,1781
53033008500,Census Tract 85; King County; Washington,30,799,861,290,172,9,9,4458,2288
53033008600,Census Tract 86; King County; Washington,1,1834,518,779,664,7,12,6863,3048
53033008700,Census Tract 87; King County; Washington,5,969,526,374,308,0,0,4888,2706
53033008800,Census Tract 88; King County; Washington,0,246,664,494,190,0,26,4290,2670
53033008900,Census Tract 89; King County; Washington,0,645,843,836,506,0,0,6176,3346
53033009000,Census Tract 90; King County; Washington,0,850,526,749,465,12,0,4256,1654
53033009100,Census Tract 91; King County; Washington,0,1816,173,140,184,0,35,3173,825
53033009200,Census Tract 92; King County; Washington,11,1057,367,279,265,7,0,3373,1387
53033009300,Census Tract 93; King County; Washington,43,634,225,366,439,49,0,3364,1608
53033009400,Census Tract 94; King County; Washington,44,1339,733,491,778,119,24,6289,2761
53033009500,Census Tract 95; King County; Washington,0,1463,1229,653,586,0,91,7179,3157
53033009600,Census Tract 96; King County; Washington,0,382,146,272,353,2,48,6057,4854
53033009701,Census Tract 97.01; King County; Washington,49,495,642,188,216,0,20,6029,4419
53033009702,Census Tract 97.02; King County; Washington,0,252,17,413,371,0,0,6093,5040
53033009801,Census Tract 98.01; King County; Washington,0,77,0,187,312,0,0,3409,2833
53033009802,Census Tract 98.02; King County; Washington,0,432,187,179,251,0,39,4214,3126
53033009900,Census Tract 99; King County; Washington,0,647,482,556,760,15,0,5803,3343
53033010001,Census Tract 100.01; King County; Washington,132,1276,812,439,159,100,0,4148,1230
53033010002,Census Tract 100.02; King County; Washington,20,1146,511,449,502,10,34,4865,2193
53033010101,Census Tract 101.01; King County; Washington,19,781,1306,219,280,0,61,4246,1580
53033010102,Census Tract 101.02; King County; Washington,0,456,278,464,434,44,129,4693,2888
53033010200,Census Tract 102; King County; Washington,13,740,650,488,370,0,0,5439,3178
53033010301,Census Tract 103.01; King County; Washington,0,727,1021,288,196,0,0,4190,1958
53033010302,Census Tract 103.02; King County; Washington,14,328,315,294,88,0,13,3438,2386
53033010401,Census Tract 104.01; King County; Washington,0,1842,749,539,394,0,0,4672,1148
53033010402,Census Tract 104.02; King County; Washington,0,2618,356,468,218,2,0,4660,998
53033010501,Census Tract 105.01; King County; Washington,0,193,71,454,413,41,10,4315,3133
53033010502,Census Tract 105.02; King County; Washington,0,184,229,566,252,0,175,5769,4363
53033010601,Census Tract 106.01; King County; Washington,0,221,106,517,211,0,0,4245,3190
53033010602,Census Tract 106.02; King County; Washington,0,99,94,170,186,0,5,3923,3369
53033010701,Census Tract 107.01; King County; Washington,33,501,1236,428,252,0,109,4220,1661
53033010702,Census Tract 107.02; King County; Washington,34,711,1705,358,302,18,0,5012,1884
53033010800,Census Tract 108; King County; Washington,1,968,475,370,740,0,0,5023,2469
53033010900,Census Tract 109; King County; Washington,2,97,22,160,120,0,0,1181,780
53033011001,Census Tract 110.01; King County; Washington,0,2256,1494,199,311,0,50,5067,757
53033011002,Census Tract 110.02; King County; Washington,0,2391,1397,206,218,19,26,4801,544
53033011101,Census Tract 111.01; King County; Washington,60,1092,890,783,415,72,27,4807,1468
53033011102,Census Tract 111.02; King County; Washington,0,1227,818,909,523,0,49,5759,2233
53033011200,Census Tract 112; King County; Washington,48,975,464,938,211,7,34,4060,1383
53033011300,Census Tract 113; King County; Washington,57,845,857,1088,757,308,17,6969,3040
53033011401,Census Tract 114.01; King County; Washington,49,699,824,800,270,21,15,5188,2510
53033011402,Census Tract 114.02; King County; Washington,0,648,254,1171,398,7,17,4426,1931
53033011500,Census Tract 115; King County; Washington,0,339,72,578,435,0,10,4370,2936
53033011601,Census Tract 116.01; King County; Washington,0,268,29,320,323,0,0,3337,2397
53033011602,Census Tract 116.02; King County; Washington,0,101,48,321,221,0,0,3615,2924
53033011700,Census Tract 117; King County; Washington,81,2883,928,633,199,0,37,5742,981
53033011801,Census Tract 118.01; King County; Washington,7,981,476,577,384,20,18,3361,898
53033011802,Census Tract 118.02; King County; Washington,94,444,1787,839,296,0,125,4918,1333
53033011901,Census Tract 119.01; King County; Washington,113,1903,732,364,317,0,80,4553,1044
53033011902,Census Tract 119.02; King County; Washington,5,1115,557,118,96,0,55,3034,1088
53033012000,Census Tract 120; King County; Washington,0,99,0,227,266,0,106,3373,2675
53033012100,Census Tract 121; King County; Washington,0,230,9,206,140,0,0,2772,2187
53033020100,Census Tract 201; King County; Washington,0,547,22,62,143,0,20,3409,2615
53033020200,Census Tract 202; King County; Washington,1,561,213,221,251,0,30,5453,4176
53033020301,Census Tract 203.01; King County; Washington,0,526,153,694,128,0,9,3530,2020
53033020302,Census Tract 203.02; King County; Washington,0,883,209,423,424,0,40,3887,1908
53033020401,Census Tract 204.01; King County; Washington,22,396,302,438,186,0,22,4221,2855
53033020402,Census Tract 204.02; King County; Washington,43,628,97,223,654,4,45,5523,3829
53033020500,Census Tract 205; King County; Washington,0,1510,579,635,769,0,48,7761,4220
53033020600,Census Tract 206; King County; Washington,0,828,554,557,220,0,49,4020,1812
53033020700,Census Tract 207; King County; Washington,0,618,256,524,286,0,0,4140,2456
53033020800,Census Tract 208; King County; Washington,8,475,129,121,313,16,89,4686,3535
53033020900,Census Tract 209; King County; Washington,15,668,77,255,239,0,62,3941,2625
53033021000,Census Tract 210; King County; Washington,99,639,1002,257,245,17,0,5786,3527
53033021100,Census Tract 211; King County; Washington,0,657,108,299,219,0,0,4222,2939
53033021300,Census Tract 213; King County; Washington,0,762,448,346,231,3,59,4327,2478
53033021400,Census Tract 214; King County; Washington,39,273,0,265,231,7,12,3985,3158
53033021500,Census Tract 215; King County; Washington,0,278,54,326,473,80,0,4798,3587
53033021600,Census Tract 216; King County; Washington,10,541,218,186,597,0,24,5407,3831
53033021701,Census Tract 217.01; King County; Washington,2,1170,259,518,353,0,64,4599,2233
53033021702,Census Tract 217.02; King County; Washington,1,852,177,1055,151,2,0,5204,2966
53033021802,Census Tract 218.02; King County; Washington,34,1080,87,519,560,0,49,6062,3733
53033021803,Census Tract 218.03; King County; Washington,0,847,63,332,214,0,52,6458,4950
53033021804,Census Tract 218.04; King County; Washington,0,880,117,803,327,0,0,5482,3355
53033021903,Census Tract 219.03; King County; Washington,12,1105,211,497,600,0,0,6635,4210
53033021904,Census Tract 219.04; King County; Washington,0,1650,41,472,329,0,0,5720,3228
53033021905,Census Tract 219.05; King County; Washington,92,973,0,236,771,89,154,5678,3363
53033021906,Census Tract 219.06; King County; Washington,38,1305,1,215,457,0,121,4591,2454
53033022001,Census Tract 220.01; King County; Washington,18,787,17,386,504,0,0,5154,3442
