GEOID,NAME,RentHH,CBrent
53033000101,Census Tract 1.01; King County; Washington,1571,768
53033000102,Census Tract 1.02; King County; Washington,1351,661
53033000201,Census Tract 2.01; King County; Washington,1214,726
53033000202,Census Tract 2.02; King County; Washington,435,178
53033000300,Census Tract 3; King County; Washington,201,78
53033000402,Census Tract 4.02; King County; Washington,1312,398
53033000403,Census Tract 4.03; King County; Washington,1067,548
53033000404,Census Tract 4.04; King County; Washington,1810,1325
53033000500,Census Tract 5; King County; Washington,88,49
53033000601,Census Tract 6.01; King County; Washington,991,457
53033000602,Census Tract 6.02; King County; Washington,565,272
53033000700,Census Tract 7; King County; Washington,1404,739
53033000800,Census Tract 8; King County; Washington,201,109
53033000900,Census Tract 9; King County; Washington,162,41
53033001000,Census Tract 10; King County; Washington,239,99
53033001100,Census Tract 11; King County; Washington,332,105
53033001201,Census Tract 12.01; King County; Washington,1841,1031
53033001202,Census Tract 12.02; King County; Washington,1323,671
53033001300,Census Tract 13; King County; Washington,1462,494
53033001400,Census Tract 14; King County; Washington,709,367
53033001500,Census Tract 15; King County; Washington,164,30
53033001600,Census Tract 16; King County; Washington,424,94
53033001701,Census Tract 17.01; King County; Washington,1330,457
53033001702,Census Tract 17.02; King County; Washington,1173,368
53033001800,Census Tract 18; King County; Washington,1456,504
53033001900,Census Tract 19; King County; Washington,1039,406
53033002000,Census Tract 20; King County; Washington,466,131
53033002100,Census Tract 21; King County; Washington,838,344
53033002200,Census Tract 22; King County; Washington,598,104
53033002400,Census Tract 24; King County; Washington,410,129
53033002500,Census Tract 25; King County; Washington,381,106
53033002600,Census Tract 26; King County; Washington,883,391
53033002700,Census Tract 27; King County; Washington,604,174
53033002800,Census Tract 28; King County; Washington,912,194
53033002900,Census Tract 29; King County; Washington,658,244
53033003000,Census Tract 30; King County; Washington,952,186
53033003100,Census Tract 31; King County; Washington,681,155
53033003201,Census Tract 32.01; King County; Washington,1541,505
53033003202,Census Tract 32.02; King County; Washington,642,241
53033003301,Census Tract 33.01; King County; Washington,1439,582
53033003302,Census Tract 33.02; King County; Washington,908,208
53033003400,Census Tract 34; King County; Washington,365,97
53033003500,Census Tract 35; King County; Washington,757,360
53033003601,Census Tract 36.01; King County; Washington,988,386
53033003602,Census Tract 36.02; King County; Washington,2670,1052
53033003800,Census Tract 38; King County; Washington,367,85
53033003900,Census Tract 39; King County; Washington,247,69
53033004000,Census Tract 40; King County; Washington,446,232
53033004101,Census Tract 41.01; King County; Washington,118,44
53033004102,Census Tract 41.02; King County; Washington,585,219
53033004201,Census Tract 42.01; King County; Washington,461,143
53033004202,Census Tract 42.02; King County; Washington,470,22
53033004301,Census Tract 43.01; King County; Washington,661,281
53033004302,Census Tract 43.02; King County; Washington,1593,1024
53033004401,Census Tract 44.01; King County; Washington,593,311
53033004402,Census Tract 44.02; King County; Washington,1653,841
53033004500,Census Tract 45; King County; Washington,435,129
53033004600,Census Tract 46; King County; Washington,515,150
53033004701,Census Tract 47.01; King County; Washington,1697,734
53033004702,Census Tract 47.02; King County; Washington,1408,467
53033004703,Census Tract 47.03; King County; Washington,1557,485
53033004800,Census Tract 48; King County; Washington,1173,238
53033004901,Census Tract 49.01; King County; Washington,1259,484
53033004902,Census Tract 49.02; King County; Washington,1338,427
53033005000,Census Tract 50; King County; Washington,1914,868
53033005100,Census Tract 51; King County; Washington,623,254
53033005201,Census Tract 52.01; King County; Washington,1123,645
53033005202,Census Tract 52.02; King County; Washington,1687,884
53033005303,Census Tract 53.03; King County; Washington,51,36
53033005304,Census Tract 53.04; King County; Washington,157,126
53033005305,Census Tract 53.05; King County; Washington,1168,870
53033005306,Census Tract 53.06; King County; Washington,1620,962
53033005307,Census Tract 53.07; King County; Washington,484,356
53033005401,Census Tract 54.01; King County; Washington,1437,434
53033005402,Census Tract 54.02; King County; Washington,1314,582
53033005600,Census Tract 56; King County; Washington,320,56
53033005700,Census Tract 57; King County; Washington,942,238
53033005801,Census Tract 58.01; King County; Washington,2129,404
53033005803,Census Tract 58.03; King County; Washington,819,226
53033005804,Census Tract 58.04; King County; Washington,1209,306
53033005901,Census Tract 59.01; King County; Washington,703,146
53033005902,Census Tract 59.02; King County; Washington,526,169
53033006000,Census Tract 60; King County; Washington,1692,481
53033006100,Census Tract 61; King County; Washington,1695,608
53033006200,Census Tract 62; King County; Washington,134,7
53033006300,Census Tract 63; King County; Washington,1183,299
53033006400,Census Tract 64; King County; Washington,200,68
53033006500,Census Tract 65; King County; Washington,1612,503
53033006600,Census Tract 66; King County; Washington,1858,622
53033006701,Census Tract 67.01; King County; Washington,2244,620
53033006702,Census Tract 67.02; King County; Washington,1605,184
53033006703,Census Tract 67.03; King County; Washington,816,295
53033006800,Census Tract 68; King County; Washington,920,283
53033006900,Census Tract 69; King County; Washington,795,193
53033007001,Census Tract 70.01; King County; Washington,1811,843
53033007002,Census Tract 70.02; King County; Washington,1875,836
53033007101,Census Tract 71.01; King County; Washington,1692,460
53033007102,Census Tract 71.02; King County; Washington,1503,492
53033007201,Census Tract 72.01; King County; Washington,2767,1171
53033007202,Census Tract 72.02; King County; Washington,1866,344
53033007203,Census Tract 72.03; King County; Washington,2098,546
53033007301,Census Tract 73.01; King County; Washington,2354,716
53033007302,Census Tract 73.02; King County; Washington,2951,726
