"school_name","sum_AIAN","sum_Asian","sum_BlackAA","sum_Hispanic","sum_MultiRacial","sum_NHPI","sum_Other","sum_totpop","sum_white_notHL","AIAN_prop","Asian_prop","Black_prop","Hispanic_prop","MultiRacial_prop","NHPI_prop","Other_prop","White_prop","PoC_prop","sum_rentHH","sum_ownHH","rent_prop","own_prop","mean_HHInc","sum_PopPov","sum_pov","pov_rate","school_type"
"Adams",42,4460,472,2462,3013,73,191,41911,31198,0.00100212354751736,0.106415976712558,0.0112619598673379,0.058743527952089,0.0718904344921381,0.00174178616592303,0.00455727613275751,0.74438691512968,0.25561308487032,10825,10100,0.517323775388292,0.482676224611709,156423.045000119,41868,3666,0.08756090570364,"es"
"Alki",49,1412,1128,1609,1378,2,248,27871,22045,0.0017580998170141,0.050661978400488,0.0404721753794266,0.0577302572566467,0.0494420724050088,7.17591762046572e-05,0.00889813784937749,0.790965519715834,0.209034480284166,5573,7394,0.429783296059227,0.570216703940773,137821.351189408,27674,3153,0.113933656139337,"es"
"Arbor Heights",49,2384,1236,3623,2053,28,148,27081,17560,0.00180938665485026,0.0880321996972047,0.0456408552121414,0.133783833684133,0.0758096082123998,0.00103393523134301,0.00546508622281304,0.648425095085115,0.351574904914885,3327,8103,0.291076115485564,0.708923884514436,130946.615782283,26825,3391,0.12641192917055,"es"
"B.F. Day",22,4519,860,3252,2915,25,162,42603,30848,0.000516395558998193,0.106072342323311,0.0201863718517475,0.0763326526300965,0.0684224115672605,0.000586813135225219,0.00380254911625942,0.724080463817102,0.275919536182898,13584,8423,0.617258145135639,0.382741854864361,134943.1173861,42239,4782,0.113212907502545,"es"
"Bagley",42,4807,975,2668,2734,106,240,36779,25207,0.00114195600750428,0.13069958400174,0.0265096930313494,0.072541395905272,0.0743358982027788,0.00288207944751081,0.00652546290002447,0.68536393050382,0.31463606949618,9283,8536,0.520960772209439,0.479039227790561,147567.91432611,36545,4880,0.133533999179094,"es"
"Beacon Hill Int'l",239,8524,4209,3287,3113,290,184,33274,13428,0.00718278535793713,0.256175993268017,0.126495161387269,0.0987858387930516,0.0935565306245116,0.00871551361423334,0.00552984312075494,0.403558333834225,0.596441666165775,10000,6281,0.614212886186352,0.385787113813648,97974.5646751217,32903,8688,0.264048870923624,"es"
"Broadview-Thomson K-8",54,3130,1686,2593,2190,111,158,27578,17656,0.00195808252955254,0.113496265138879,0.0611356878671405,0.0940242222061063,0.0794111248096309,0.004024947421858,0.0057292044383204,0.640220465588513,0.359779534411487,5752,7017,0.450465972276607,0.549534027723393,111230.726086011,27262,4744,0.17401511261096,"es"
"Bryant",333,6030,730,2651,3158,58,137,46054,32957,0.00723064228948626,0.130933252269075,0.0158509575715464,0.0575628609892735,0.0685716767273201,0.00125939114952013,0.00297476874972858,0.71561645025405,0.28438354974595,6769,10817,0.384908449903332,0.615091550096668,167058.884136014,44741,6755,0.1509800853803,"es"
"Catharine Blaine K-8",0,1268,255,666,966,22,163,13772,10432,0,0.0920708684286959,0.0185158292187046,0.0483589892535579,0.0701423177461516,0.00159744408945687,0.0118356084809759,0.757478942782457,0.242521057217543,1262,4491,0.21936381018599,0.78063618981401,203514.498838222,13750,1096,0.0797090909090909,"es"
"Coe",52,3701,569,2992,2087,1,141,31376,21833,0.00165731769505354,0.117956399796022,0.0181348801631821,0.0953595104538501,0.0665158082610913,3.18714941356451e-05,0.00449388067312596,0.695850331463539,0.304149668536461,7974,6679,0.544188903296253,0.455811096703747,154706.168281489,29839,3562,0.119373973658635,"es"
"Concord Int'l",130,3902,3730,5832,2120,388,91,26370,10177,0.00492984452028821,0.147971179370497,0.141448615851346,0.221160409556314,0.0803943875616231,0.014713689799014,0.00345089116420174,0.385930982176716,0.614069017823284,4316,5659,0.432681704260652,0.567318295739348,103419.122715207,26267,8684,0.330604941561655,"es"
"Dearborn Park Int'l",0,9107,3996,1412,1141,21,76,19200,3447,0,0.474322916666667,0.208125,0.0735416666666667,0.0594270833333333,0.00109375,0.00395833333333333,0.17953125,0.82046875,2390,3828,0.384367963975555,0.615632036024445,90477.8889583333,19169,6351,0.331316187594554,"es"
"Dunlap",242,8883,6393,3940,2128,92,306,29654,7670,0.00816078775207392,0.299554866122614,0.215586430161192,0.132865717946989,0.0717609765967492,0.00310244823632562,0.0103190126121265,0.25864976057193,0.74135023942807,5278,5524,0.488613219774116,0.511386780225884,84117.4492479935,29291,8526,0.29107917107644,"es"
"Emerson",300,8553,5298,3440,1815,20,364,27367,7577,0.0109621076478971,0.312529689041546,0.193590821061863,0.125698834362553,0.0663207512697775,0.000730807176526473,0.0133006906127818,0.276866298827054,0.723133701172946,3547,5960,0.37309351004523,0.62690648995477,104408.730587934,27050,7179,0.26539741219963,"es"
"Fairmount Park",68,3956,4585,3598,3367,74,338,42524,26538,0.00159909698052864,0.0930298184554604,0.10782146552535,0.0846110431756185,0.0791788166682344,0.00174019377292823,0.00794845263851002,0.624071112783369,0.375928887216631,9716,10167,0.488658653120756,0.511341346879244,119508.548748942,42158,8143,0.193154324208928,"es"
"Gatewood",34,1739,2054,2264,1678,18,15,24502,16700,0.00138764182515713,0.0709737980573014,0.0838298914374337,0.0924006203575218,0.0684842053709901,0.000734633907436128,0.00061219492286344,0.681577014121296,0.318422985878704,3789,7047,0.349667774086379,0.650332225913621,128551.649498,24345,4338,0.17818853974122,"es"
"Gatzert",134,9544,4593,3962,3465,203,106,40954,18947,0.00327196366655272,0.233041949504322,0.11215021731699,0.0967426869170289,0.0846071201836207,0.00495678077843434,0.00258826976607902,0.462641011866973,0.537358988133027,15119,5343,0.738881829733164,0.261118170266836,94407.3493187479,37759,11812,0.312826081199184,"es"
"Genesee Hill",49,2379,1722,2713,2761,56,249,39555,29626,0.0012387814435596,0.0601441031475161,0.0435343193022374,0.0685880419668816,0.069801542156491,0.00141575022121097,0.00629503223359879,0.748982429528505,0.251017570471495,9170,9847,0.482200136719777,0.517799863280223,124332.074832512,39284,5557,0.141457081763568,"es"
"Graham Hill",80,4767,3855,3045,1888,92,94,23556,9735,0.00339616233655969,0.20236882322975,0.16365257259297,0.129266428935303,0.0801494311428086,0.00390558668704364,0.00399049074545763,0.413270504330107,0.586729495669893,3373,5444,0.382556425087898,0.617443574912102,120774.940694515,23096,4158,0.180031174229304,"es"
"Green Lake",202,13695,1931,4855,4905,108,318,68983,42969,0.00292825768667643,0.198527173361553,0.0279924039256049,0.0703796587565052,0.0711044750155835,0.00156560311960918,0.00460983140773814,0.62289259672673,0.37710740327327,18587,10826,0.631931458878727,0.368068541121273,117045.660771494,61298,14328,0.23374335214852,"es"
"Greenwood",54,3136,882,2702,2403,106,131,31732,22318,0.00170175217446111,0.0988276818353712,0.0277952855161982,0.085150636581369,0.0757279717635195,0.00334047649060885,0.00412832471952603,0.703327870918946,0.296672129081054,6651,7861,0.458310363836825,0.541689636163175,135855.885257784,31371,3228,0.102897580568041,"es"
"Hawthorne",178,6150,5131,2731,1921,144,203,30826,14368,0.00577434633101927,0.199506909751508,0.166450399013819,0.0885940439888406,0.0623175241679102,0.00467138130149873,0.00658535002919613,0.466100045416207,0.533899954583793,5106,6946,0.423664122137405,0.576335877862595,121695.095633556,30475,6083,0.19960623461854,"es"
"Hay",132,12769,1902,4866,4168,84,626,61221,36674,0.00215612289900524,0.208572221949984,0.0310677708629392,0.0794825305042387,0.0680812139625292,0.00137207820845788,0.0102252495058885,0.599042812106957,0.400957187893043,27027,11037,0.710040983606557,0.289959016393443,136314.65292955,60352,7330,0.12145413573701,"es"
"Highland Park",106,2192,1935,3059,1425,336,49,16583,7481,0.00639208828318157,0.132183561478623,0.11668576252789,0.184466019417476,0.0859313755050353,0.0202617138032925,0.00295483326298016,0.451124645721522,0.548875354278478,2735,3882,0.413329303309657,0.586670696690343,113904.224265814,16457,3115,0.189281156954487,"es"
"James Baldwin",176,3728,2626,3577,2038,147,167,29203,16744,0.00602677807074616,0.127658117316714,0.0899222682601103,0.122487415676472,0.0697873506146629,0.00503372941136185,0.00571859055576482,0.573365750094168,0.426634249905832,8182,5876,0.582017356665244,0.417982643334756,87726.6398315242,28875,6342,0.219636363636364,"es"
"John Muir",151,3976,3625,1775,1459,144,281,20266,8855,0.00745090299022994,0.196190664166584,0.178871015493931,0.0875851179315109,0.0719924997532814,0.00710549689134511,0.0138655876838054,0.436938715089312,0.563061284910688,4087,4296,0.487534295598235,0.512465704401766,111058.1577519,20036,4931,0.246107007386704,"es"
"John Rogers",14,5241,1545,2838,1775,61,282,33399,21643,0.000419174226773257,0.156920865894188,0.0462588700260487,0.0849726039701788,0.0531453037516093,0.00182640198808348,0.00844336656786131,0.648013413575257,0.351986586424743,6696,8139,0.451365015166835,0.548634984833165,129773.142519237,33161,4975,0.150025632520129,"es"
"Kimball",239,10318,4615,3405,3076,280,149,35177,13095,0.00679421212724223,0.293316655769395,0.131193677687125,0.0967962020638485,0.0874435000142138,0.00795974642522103,0.00423572220484976,0.372260283708105,0.627739716291895,7059,7883,0.472426716637666,0.527573283362334,112425.384995878,34829,7095,0.203709552384507,"es"
"Lafayette",1,2951,1378,2431,3200,58,97,34914,24798,2.86418055794237e-05,0.0845219682648794,0.0394684080884459,0.0696282293635791,0.0916537778541559,0.00166122472360658,0.0027782551412041,0.71025949475855,0.28974050524145,6538,9427,0.409520826808644,0.590479173191356,137060.695938592,34485,4480,0.129911555748876,"es"
"Laurelhurst",477,10114,1517,3488,3950,101,147,48033,28239,0.0099306726625445,0.210563570878354,0.0315824537297275,0.0726167426560906,0.0822351300147815,0.00210272104594758,0.00306039597776529,0.587908313034789,0.412091686965211,9614,6609,0.592615422548234,0.407384577451766,114246.884433619,37738,11467,0.303858180083735,"es"
"Lawton",41,3268,566,1990,1750,22,163,28327,20527,0.00144738235605606,0.115366964380273,0.0199809369153105,0.0702509972817453,0.0617785151975147,0.000776644191054471,0.00575422741553994,0.724644332262506,0.275355667737494,5635,7272,0.436584798946308,0.563415201053692,170405.311257811,27232,2639,0.0969080493537015,"es"
