geoid,market_share,school_age_kids_in_tract,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119000101,35,0,11,1738,NA,6,94
37119000102,16,18,0,1729,2667,19,81
37119000103,30,66,1,1976,2016,27,73
37119000104,62,0,6,1789,2609,56,44
37119000301,62,7,0,1725,1792,16,84
37119000302,11,22,2,1629,2225,21,79
37119000401,57,54,1,1556,1900,10,90
37119000402,62,11,3,1696,2145,4,96
37119000501,42,5,3,1619,1887,29,71
37119000502,37,277,0,1359,NA,8,92
37119000503,19,0,16,345,1865,38,62
37119000600,65,505,7,1351,2048,24,76
37119000700,89,47,18,1598,1925,17,83
37119000800,65,646,44,1051,1512,46,54
37119000900,64,243,74,1343,1955,63,37
37119001000,80,314,49,1361,2227,47,53
37119001100,42,565,62,1664,2602,42,58
37119001200,86,1466,65,1165,1525,58,42
37119001300,55,581,64,1072,1851,47,53
37119001400,60,551,55,1518,1725,52,48
37119001504,87,1788,52,1107,942,45,55
37119001505,80,2199,59,1040,1332,82,18
37119001507,64,2599,31,1046,998,21,79
37119001508,79,2127,67,963,1231,58,42
37119001509,30,1581,71,1100,1044,67,33
37119001510,62,650,71,924,1155,52,48
37119001603,55,1233,65,1145,1230,38,62
37119001605,74,451,38,916,1529,25,75
37119001606,63,1574,56,1088,1309,37,63
37119001607,88,1326,26,1136,1228,22,78
37119001608,89,1329,65,1109,940,43,57
37119001609,68,940,40,1063,1223,40,60
37119001701,79,1561,21,1114,1774,22,78
37119001702,70,2696,44,1024,1272,38,62
37119001801,62,219,49,1012,1426,27,73
37119001802,66,568,47,936,1301,44,56
37119001910,62,1782,47,992,1160,43,57
37119001911,62,1471,91,1198,1113,65,35
37119001914,76,1109,59,964,1348,39,61
37119001916,58,1459,68,1215,1152,65,35
37119001917,54,1661,77,1186,1095,50,50
37119001918,98,1159,12,1079,1020,25,75
37119001919,62,1383,63,970,1226,58,42
37119001920,74,2732,71,1310,1109,62,38
37119001921,72,804,98,1229,984,70,30
37119001922,65,1973,87,1187,1271,69,31
37119001923,74,1483,46,1287,1072,44,56
37119001924,62,608,43,961,962,39,61
37119001925,79,1584,31,1167,1039,26,74
37119001926,68,681,20,1060,1290,29,71
37119001927,85,817,0,1115,NA,0,100
37119002004,43,1459,51,1309,1994,57,43
37119002005,39,535,17,1655,2584,22,78
37119002006,45,860,82,1499,2387,76,24
37119002007,93,361,57,833,1398,50,50
37119002008,67,526,98,NA,1855,98,2
37119002100,84,645,38,891,1754,44,56
37119002201,63,763,54,1207,2718,57,43
37119002202,59,535,41,1461,3213,55,45
37119002300,72,1401,30,908,930,20,80
37119002400,63,372,20,1316,2134,33,67
37119002500,43,226,15,1482,2970,26,74
37119002600,86,168,30,1383,1929,42,58
37119002701,19,476,54,1364,4001,82,18
37119002702,33,1512,66,1549,4001,82,18
37119002800,26,1031,80,NA,4001,94,6
37119002903,45,763,39,1385,4001,50,50
37119002905,44,861,56,1770,4001,72,28
37119002907,45,1097,30,1755,2571,45,55
37119002908,59,732,64,1533,2337,73,27
37119002909,47,383,20,1632,2325,31,69
37119002910,78,385,30,1597,2355,33,67
37119003006,73,949,45,1518,2036,66,34
37119003008,41,1895,59,1146,2246,59,41
37119003012,60,1170,55,1469,2111,53,47
37119003013,65,1250,86,1214,2657,95,5
37119003015,47,1192,93,1746,1911,90,10
37119003016,71,1337,38,1448,2362,46,54
37119003017,60,856,81,1168,2201,86,14
37119003018,63,458,47,1394,1823,63,37
37119003019,62,537,82,1151,2921,89,11
37119003020,34,1155,90,NA,3391,96,4
37119003021,29,886,43,1531,3101,63,37
37119003022,32,1177,73,1958,2296,87,13
37119003102,62,604,48,1184,1688,43,57
37119003105,60,687,66,1488,1747,86,14
37119003106,66,1501,46,1161,1589,72,28
37119003108,72,1015,35,1135,1534,34,66
37119003109,87,1397,2,1197,NA,1,99
37119003110,89,241,79,1826,1557,78,22
37119003111,29,842,31,1640,1559,49,51
37119003201,92,589,74,985,1564,73,27
37119003203,62,425,23,1137,2102,25,75
37119003204,79,423,44,1340,1998,66,34
37119003301,96,104,13,1494,1991,12,88
37119003302,99,371,53,1598,2139,61,39
37119003401,68,239,20,1858,1702,42,58
37119003402,65,885,58,1611,2918,68,32
37119003500,60,237,33,1631,2608,61,39
37119003600,62,540,50,1396,1878,36,64
37119003701,65,49,1,1515,NA,0,100
37119003702,70,648,7,1412,1691,9,91
37119003802,55,956,61,957,976,36,64
37119003805,74,585,11,1341,1860,18,82
37119003807,62,1779,52,1158,1085,36,64
37119003808,97,2470,14,1132,1199,20,80
37119003809,78,997,53,1417,1134,51,49
37119003810,60,1360,46,1264,951,32,68
37119003811,62,346,60,1333,819,40,60
37119003902,76,1323,51,945,922,34,66
37119003903,62,865,22,579,NA,6,94
37119004000,60,1199,66,1073,886,46,54
37119004101,40,363,27,1372,1648,34,66
37119004102,41,448,36,1466,2150,45,55
37119004200,87,571,73,1078,1074,35,65
37119004302,58,1605,67,1029,876,40,60
37119004303,62,331,85,1055,1039,69,31
37119004304,57,1531,77,991,1101,54,46
37119004306,80,1064,26,1014,NA,3,97
37119004307,39,1133,97,1190,1199,71,29
37119004400,62,1194,86,1139,950,58,42
37119004500,90,665,76,926,746,57,43
37119004600,62,492,80,1100,883,46,54
37119004700,41,245,72,941,1743,46,54
37119004800,62,589,75,926,783,38,62
37119004900,84,131,94,1125,1197,75,25
37119005000,67,647,38,893,1590,49,51
37119005100,62,208,62,915,821,30,70
37119005200,73,189,61,894,943,31,69
37119005301,45,2150,41,934,1217,29,71
37119005305,94,1590,69,1071,1025,39,61
37119005306,62,778,56,940,873,48,52
37119005307,76,1442,26,1083,916,12,88
37119005308,62,1449,12,894,943,7,93
37119005403,51,1605,86,1126,1115,65,35
37119005404,89,1144,82,1171,1018,57,43
37119005405,68,658,75,1252,1014,64,36
37119005406,59,922,76,979,945,53,47
37119005508,54,888,94,1734,1581,82,18
37119005510,74,3173,69,1281,1240,58,42
37119005511,62,615,11,1280,1245,32,68
37119005512,68,1754,83,1397,1169,68,32
37119005513,55,790,96,1798,1410,83,17
37119005515,83,461,67,1679,1541,88,12
37119005516,41,548,100,1828,1617,86,14
37119005517,60,792,84,1894,1669,77,23
37119005519,59,1943,48,1334,1642,49,51
37119005520,62,1303,96,1952,1888,90,10
37119005522,61,1084,49,1376,1414,32,68
37119005525,52,1081,67,1515,1340,58,42
37119005526,62,407,86,1877,1575,90,10
37119005527,43,764,54,1103,1570,56,44
37119005528,82,882,47,1231,1575,51,49
37119005529,62,390,43,1603,1620,33,67
37119005530,77,828,72,1547,1658,72,28
37119005531,42,1513,61,1238,1605,57,43
37119005532,55,523,2,1222,1522,19,81
37119005533,62,178,11,1366,NA,12,88
37119005534,45,833,2,1242,1347,5,95
37119005535,69,878,34,1220,1295,23,77
37119005536,88,854,44,1440,1172,43,57
37119005604,15,38,25,826,1333,21,79
37119005609,88,301,0,875,NA,6,94
37119005610,62,490,53,1077,1250,43,57
37119005611,66,687,64,1293,1253,56,44
37119005612,77,1348,73,1437,1256,73,27
37119005613,57,1205,78,1293,1743,72,28
37119005615,63,640,97,1837,1671,88,12
37119005616,56,893,77,1744,1122,61,39
37119005617,62,681,99,1217,1290,91,9
37119005618,55,777,97,1562,1630,82,18
